favorited	contributors	truncated	text	created_at	retweeted	in_reply_to_status_id_str	coordinates	in_reply_to_user_id_str	source	in_reply_to_status_id	in_reply_to_screen_name	id_str	place	retweet_count	geo	id	possibly_sensitive	in_reply_to_user_id
None	False	RT @jorisluyendijk: Waanzinnig. Alle vluchten op dit moment, in real time. Wat zijn we toch een drukke diersoort! http://t.co/4FK90aF5	None	245909711604568064	<a href="http://itunes.apple.com/us/app/twitter/id409789998?mt=12" rel="nofollow">Twitter for Mac</a>	False	None	None	245909711604568064	32	None	False	None	None	False	Wed Sep 12 15:40:18 +0000 2012	None	None
None	False	RT @Packetknife: Malware Analysis: The Danger of Connecting the Dots - http://t.co/Ioq7xVbk	None	245906531336482816	<a href="http://itunes.apple.com/us/app/twitter/id409789998?mt=12" rel="nofollow">Twitter for Mac</a>	False	None	None	245906531336482816	3	None	False	None	None	False	Wed Sep 12 15:27:40 +0000 2012	None	None
False	None	False	@silvertje yes! Zoete aardappel en koriander :)	Wed Sep 12 15:15:29 +0000 2012	False	245899625985368064	None	8273852	<a href="http://itunes.apple.com/us/app/twitter/id409789998?mt=12" rel="nofollow">Twitter for Mac</a>	245899625985368064	silvertje	245903466214592512	None	0	None	245903466214592512	8273852
None	False	RT @aliekens: Happy programmer's day! (today being the 256th day of the year) https://t.co/Wu5a3BHU	None	245887192944234496	<a href="http://itunes.apple.com/us/app/twitter/id409789998?mt=12" rel="nofollow">Twitter for Mac</a>	False	None	None	245887192944234496	2	None	False	None	None	False	Wed Sep 12 14:10:49 +0000 2012	None	None
None	False	RT @virtueelp: We komen vaak leuke nieuwe e-cultuurprojecten en -werken tegen die we graag delen. Bekijk nieuw werk op onze #Pinterest h ...	Wed Sep 12 14:10:40 +0000 2012	False	None	None	None	<a href="http://itunes.apple.com/us/app/twitter/id409789998?mt=12" rel="nofollow">Twitter for Mac</a>	None	False	None	245887154302119936	None	1	None	245887154302119936	None
None	False	RT @NetwerkDem: Leuke app die ook afgelopen zaterdag gemaakt is: http://t.co/LfEYIJ5n	None	245855404687519744	<a href="http://itunes.apple.com/us/app/twitter/id409789998?mt=12" rel="nofollow">Twitter for Mac</a>	False	None	None	245855404687519744	3	None	False	None	None	False	Wed Sep 12 12:04:30 +0000 2012	None	None
False	None	False	@cgrltz get a tablet! An old one https://t.co/6n7bZjZn or a new one http://t.co/Gu0dPTU7	Tue Sep 11 14:21:43 +0000 2012	False	245525864656289792	None	47438273	<a href="http://itunes.apple.com/us/app/twitter/id409789998?mt=12" rel="nofollow">Twitter for Mac</a>	245525864656289792	cgrltz	245527547989876736	None	0	None	245527547989876736	False	47438273
False	None	False	http://t.co/kNUUlJLh has a new design! Now including the first 30 posts of our new M.A. students	Tue Sep 11 12:37:07 +0000 2012	False	None	None	None	<a href="http://itunes.apple.com/us/app/twitter/id409789998?mt=12" rel="nofollow">Twitter for Mac</a>	None	None	245501221312557056	None	0	None	245501221312557056	False	None
False	None	False	Wikipedia.JS is a small JS library for accessing information in Wikipedia articles such as dates, places, abstracts http://t.co/bvNBe4fR	Tue Sep 11 12:23:18 +0000 2012	False	None	None	None	<a href="http://itunes.apple.com/us/app/twitter/id409789998?mt=12" rel="nofollow">Twitter for Mac</a>	None	None	245497746155528193	None	0	None	245497746155528193	False	None
None	False	RT @RiederB: new netvizz feature: bipartite like networks #gephi #datavis http://t.co/pw8ljMwN	None	244533212745981952	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	False	None	None	244533212745981952	3	None	False	None	None	False	Sat Sep 08 20:30:35 +0000 2012	None	None
None	False	RT @Gephi: RT @riederb: new netvizz feature: bipartite like networks #gephi #datavis #facebook #sna http://t.co/rbSWiGxc	None	244527715212988416	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	False	None	None	244527715212988416	4	None	False	None	None	False	Sat Sep 08 20:08:45 +0000 2012	None	None
None	False	RT @evgenymorozov: How is web personalisation affecting the news? http://t.co/IAC6n7WJ	None	243059334156804097	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	False	None	None	243059334156804097	12	None	False	None	None	False	Tue Sep 04 18:53:55 +0000 2012	None	None
False	None	False	@JanFolkersma dank voor de tip. Op Windows is xchat echter ook geen free software :(	Tue Sep 04 18:49:02 +0000 2012	False	243022610173161472	None	350921379	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	243022610173161472	JanFolkersma	243058102772039680	None	0	None	243058102772039680	350921379
False	None	False	@JanFolkersma dank voor de suggestie, mIRC is echter geen free software	Tue Sep 04 16:27:13 +0000 2012	False	243013692004900864	None	350921379	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	243013692004900864	JanFolkersma	243022414974423040	None	0	None	243022414974423040	350921379
None	False	RT @ibogost: "Hi Ian, You haven't visited Cow Clicker in a while and there's some activity you might have missed."	Tue Sep 04 11:32:43 +0000 2012	False	None	None	None	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	None	False	None	242948303321444353	None	3	None	242948303321444353	None
False	None	False	@silvertje which book contains those essays?	Tue Sep 04 11:14:00 +0000 2012	False	242919117156413440	None	8273852	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	242919117156413440	silvertje	242943592535056385	None	0	None	242943592535056385	8273852
False	None	False	@mirkoschaefer unfortunately mIRC is not free software	Tue Sep 04 10:02:52 +0000 2012	False	242925411175124992	None	195361298	<a href="http://itunes.apple.com/us/app/twitter/id409789998?mt=12" rel="nofollow">Twitter for Mac</a>	242925411175124992	mirkoschaefer	242925692038287361	None	0	None	242925692038287361	195361298
