contributors	truncated	text	in_reply_to_status_id	id	source	retweeted	coordinates	in_reply_to_screen_name	id_str	retweet_count	in_reply_to_user_id	favorited	geo	in_reply_to_user_id_str	possibly_sensitive	screen_name	created_at	in_reply_to_status_id_str	place
None	False	De NL-se economie krimpt. Nodig is belastingverlaging ipv verhoging. Met Rooie Rutte verder het moeras in. #RooieRutte http://t.co/9YSKBrSh	None	269089734997970944	<a href="http://blackberry.com/twitter" rel="nofollow">Twitter for BlackBerry®</a>	False	None	None	269089734997970944	358	None	False	None	None	False	geertwilderspvv	Thu Nov 15 14:49:26 +0000 2012	None	None
None	False	"Wat een bende". Mijn spreektekst bij het debat over de Regeringsverklaring, vandaag in de Tweede Kamer: http://t.co/AzBknTiO	None	268384849314861057	<a href="http://blackberry.com/twitter" rel="nofollow">Twitter for BlackBerry®</a>	False	None	None	268384849314861057	253	None	False	None	None	False	geertwilderspvv	Tue Nov 13 16:08:29 +0000 2012	None	None
None	False	Ik zou tegen alle Nederlanders over de man vd valse beloften willen zeggen: "Zet Rutte toch eens uit jullie hoofd". http://t.co/Rw4YZNCs	None	266452913944145921	<a href="http://blackberry.com/twitter" rel="nofollow">Twitter for BlackBerry®</a>	False	None	None	266452913944145921	589	None	False	None	None	False	geertwilderspvv	Thu Nov 08 08:11:39 +0000 2012	None	None
None	False	Hardwerkende middenklasse ongenadig hard gepakt door VVD en PvdA. Rutte/Samsom: plannen aanpassen of direct opstappen. http://t.co/itaJPCQL	None	264647833980895232	<a href="http://twitter.com/#!/download/ipad" rel="nofollow">Twitter for iPad</a>	False	None	None	264647833980895232	646	None	False	None	None	False	geertwilderspvv	Sat Nov 03 08:38:55 +0000 2012	None	None
None	False	De PVV laat de middenklasse nooit in de steek! Mijn spreektekst bij debat vandaag over het verslag van de informateurs: http://t.co/f3fsXURm	None	263745852944814080	<a href="http://blackberry.com/twitter" rel="nofollow">Twitter for BlackBerry®</a>	False	None	None	263745852944814080	271	None	False	None	None	False	geertwilderspvv	Wed Oct 31 20:54:46 +0000 2012	None	None
False	None	False	Regeerakkoord VVD/PvdA: generaal pardon, hogere huren, hogere BTW, minder WW, hakken in studiefinanciering en zorg, meer werklozen #bagger	Mon Oct 29 20:37:51 +0000 2012	False	None	None	None	<a href="http://blackberry.com/twitter" rel="nofollow">Twitter for BlackBerry®</a>	None	geertwilderspvv	None	263016821198839808	None	1772	None	263016821198839808	None
None	False	Net speech gehouden in Malmo/Zweden op uitnodiging van Swedish Free Press Society. Ondanks demonstraties geweldige dag! http://t.co/XZKTzt1P	None	262197887675531264	<a href="http://blackberry.com/twitter" rel="nofollow">Twitter for BlackBerry®</a>	False	None	None	262197887675531264	69	None	False	None	None	False	geertwilderspvv	Sat Oct 27 14:23:42 +0000 2012	None	None
False	None	False	Hypotheekrenteaftrek gaat eraan ook voor bestaande gevallen. Huizenbezitters de klos. Met dank aan VVD. Kabinet Samsom 1 nu al ramp voor NL.	Fri Oct 26 07:05:21 +0000 2012	False	None	None	None	<a href="http://blackberry.com/twitter" rel="nofollow">Twitter for BlackBerry®</a>	None	geertwilderspvv	None	261725184657068032	None	648	None	261725184657068032	None
None	False	"We moeten de natiestaat koesteren, niet opheffen". Opiniestuk:  http://t.co/kaD78ArS	None	259348140799451136	<a href="http://blackberry.com/twitter" rel="nofollow">Twitter for BlackBerry®</a>	False	None	None	259348140799451136	98	None	False	None	None	False	geertwilderspvv	Fri Oct 19 17:39:49 +0000 2012	None	None
False	None	False	Nobelprijs voor de EU. Op moment dat Brussel heel Europa in ellende stort. Whats next? Een Oscar voor Van Rompuy? #dwaasheid	Fri Oct 12 09:09:34 +0000 2012	False	None	None	None	<a href="http://blackberry.com/twitter" rel="nofollow">Twitter for BlackBerry®</a>	None	geertwilderspvv	None	256683013851725826	None	379	None	256683013851725826	None
